Type ID Timeoffset
ED 1 11.066296
ED 2 2.198970
ED 3 11.226756
ED 4 8.749466
ED 5 0.480382
ED 6 0.621441
ED 7 -0.563397
ED 8 10.985776
ED 9 9.217118
ED 10 9.189381
ED 11 -0.306036
ED 12 9.599658
ED 13 10.376069
ED 14 10.172507
ED 15 10.677773
ED 16 0.951512
ED 17 11.390090
ED 18 9.620764
ED 19 9.553156
ED 20 10.573386
ED 21 0.805882
ED 22 10.132337
ED 23 10.677466
ED 24 -0.030504
ED 25 3.726389
ED 26 10.919260
ED 27 0.962019
ED 28 7.867208
ED 29 1.983133
ED 30 9.751063
ED 31 11.036266
ED 32 9.653753
ED 33 10.197134
ED 34 1.891173
ED 35 1.547145
ED 36 0.761658
ED 37 1.530334
ED 38 1.690159
ED 39 0.179471
ED 40 0.681066
ED 41 0.791362
ED 42 1.272304
ED 43 1.254940
ED 44 1.221348
ED 45 1.183359
ED 46 0.300381
ED 47 0.601789
ED 48 1.008997
ED 49 1.436712
ED 50 0.666263
ED 51 -2.997266
ED 52 -0.501570
ED 53 1.572964
ED 54 1.067353
ED 55 1.405090
ED 56 1.096910
ED 57 0.236271
ED 58 1.184085
ED 59 -4.900953
ED 60 1.352058
ED 61 1.734170
ED 62 1.101567
ED 63 0.151896
ED 64 -0.285640
ED 65 2.188849
ED 66 1.393496
ED 67 0.452855
ED 68 1.622395
ED 69 1.461690
ED 70 0.890510
ED 71 2.202578
ED 72 0.441630
ED 73 0.302088
ED 74 0.567153
ED 75 0.788227
ED 76 0.712523
ED 77 0.845636
ED 78 0.898526
ED 79 2.206060
ED 80 0.900907
ED 81 -0.089115
ED 82 1.266885
ED 83 1.707844
ED 84 0.704704
ED 85 0.926630
ED 86 -0.809242
ED 87 0.974115
ED 88 0.867307
ED 89 1.656299
ED 90 0.096542
ED 91 0.217458
ED 92 1.529556
ED 93 0.252460
ED 94 0.860723
ED 95 1.273466
ED 96 1.296778
ED 97 0.716408
ED 98 1.315419
ED 99 1.707778
ED 100 1.150477
ED 101 0.952849
ED 102 2.275452
ED 103 0.748871
ED 104 0.795595
ED 105 1.605970
ED 106 0.712134
ED 107 1.647142
ED 108 1.616398
ED 109 0.242096
ED 110 1.546573
ED 111 0.529085
ED 112 1.217260
ED 113 1.199904
ED 114 -3.562682
