Type ID Pre_TimeOffset
ED 1 2.996798
ED 2 -1.304293
ED 3 2.345389
ED 4 -0.090158
ED 5 2.472791
ED 6 -0.170152
ED 7 -2.702628
ED 8 -0.224113
ED 9 0.023737
ED 10 -1.232289
ED 11 4.173582
ED 12 -2.955198
ED 13 -0.146822
ED 14 -4.330006
ED 15 -3.182011
ED 16 -4.164893
ED 17 2.302190
ED 18 -2.208089
ED 19 1.739164
ED 20 -1.146403
ED 21 6.182706
ED 22 -3.704454
ED 23 3.496011
ED 24 -1.362607
ED 25 -0.404314
ED 26 -1.498918
ED 27 -0.547309
ED 28 5.532939
ED 29 -0.728544
ED 30 5.990584
ED 31 0.014418
ED 32 -1.266538
ED 33 4.621595
ED 34 0.284228
ED 35 4.574076
ED 36 3.650258
ED 37 -0.408927
ED 38 -0.597647
ED 39 -0.881293
ED 40 -0.355075
ED 41 -3.480881
ED 42 0.037086
ED 43 0.066192
ED 44 -0.213758
ED 45 -3.964853
ED 46 5.232981
ED 47 -0.997132
ED 48 -0.741818
ED 49 -3.540646
ED 50 -3.571283
ED 51 -6.029285
ED 52 4.015124
ED 53 1.464512
ED 54 0.889080
ED 55 0.731738
ED 56 -3.277017
ED 57 -1.797279
ED 58 -2.363781
ED 59 -7.740414
ED 60 -3.649431
ED 61 -3.729847
ED 62 -0.713647
ED 63 5.401225
ED 64 -1.406632
ED 65 -6.709728
ED 66 -0.895801
ED 67 5.343013
ED 68 -2.658016
ED 69 0.769218
ED 70 -1.105530
ED 71 -2.146637
ED 72 -1.160467
ED 73 -0.903085
ED 74 -0.381942
ED 75 2.559359
ED 76 1.365467
ED 77 -0.093346
ED 78 3.597149
ED 79 1.077811
ED 80 -1.675677
ED 81 2.797363
ED 82 4.171576
ED 83 2.936088
ED 84 -2.683940
ED 85 0.833674
ED 86 -2.257947
ED 87 -1.850442
ED 88 -3.895599
ED 89 2.959380
ED 90 0.909236
ED 91 -4.455570
ED 92 4.032522
ED 93 0.661222
ED 94 -0.535074
ED 95 -0.995757
ED 96 1.104646
ED 97 -1.348589
ED 98 4.522015
ED 99 -0.124804
ED 100 0.246093
ED 101 3.339975
ED 102 2.761967
ED 103 -4.216008
ED 104 0.921265
