Type ID Pre_TimeOffset
ED 1 3.085940
ED 2 2.561740
ED 3 2.867140
ED 4 2.324940
ED 5 2.083140
ED 6 1.498740
ED 7 1.267340
ED 8 2.855340
ED 9 0.032660
ED 10 1.273740
ED 11 1.512540
ED 12 3.018740
ED 13 2.816540
ED 14 1.528540
ED 15 0.757860
ED 16 3.002940
ED 17 0.562260
ED 18 2.046340
ED 19 1.787540
ED 20 1.000740
ED 21 0.486940
ED 22 1.528940
ED 23 2.523540
ED 24 2.916940
ED 25 2.590540
ED 26 0.302460
ED 27 3.367140
ED 28 0.227940
ED 29 2.309540
ED 30 0.741340
ED 31 1.787540
ED 32 0.228540
ED 33 0.553860
ED 34 5.801460
ED 35 6.982540
ED 36 3.342940
ED 37 5.943740
ED 38 6.983140
ED 39 6.467740
ED 40 5.977940
ED 41 6.194340
ED 42 6.984540
ED 43 6.722140
ED 44 4.090340
ED 45 5.943340
ED 46 5.943340
ED 47 4.886140
ED 48 4.640540
ED 49 4.902340
ED 50 6.445540
ED 51 4.890340
ED 52 6.117140
ED 53 6.983540
ED 54 5.686340
ED 55 6.979940
ED 56 5.942340
ED 57 5.683940
ED 58 6.171940
ED 59 3.350740
ED 60 2.825540
ED 61 6.164940
ED 62 5.167740
ED 63 3.159860
ED 64 3.067740
ED 65 5.163740
ED 66 6.691940
ED 67 8.522740
ED 68 8.036740
ED 69 5.944740
ED 70 6.199540
ED 71 4.905540
ED 72 6.463740
ED 73 2.422460
ED 74 6.199740
ED 75 5.684740
ED 76 6.191740
ED 77 3.603740
ED 78 5.974940
ED 79 6.464740
ED 80 6.508540
ED 81 3.866540
ED 82 6.722940
ED 83 3.345940
ED 84 3.866540
ED 85 3.592540
ED 86 3.864740
ED 87 3.344940
ED 88 3.863140
ED 89 6.725140
ED 90 3.874940
ED 91 3.574740
ED 92 3.589340
ED 93 3.603940
ED 94 3.870540
ED 95 4.645540
ED 96 3.865140
ED 97 6.204140
ED 98 4.123140
ED 99 6.203940
ED 100 3.352340
ED 101 3.435540
ED 102 7.242940
ED 103 3.068340
ED 104 5.599340
ED 105 3.400340
ED 106 3.992940
ED 107 4.403740
ED 108 4.447540
ED 109 3.572740
ED 110 3.534340
ED 111 3.070340
ED 112 6.203540
ED 113 4.643940
ED 114 3.340540
ED 115 6.723940
ED 116 3.081540
ED 117 6.724540
ED 118 2.330740
ED 119 7.988940
ED 120 4.386740
ED 121 6.721940
ED 122 2.882340
ED 123 3.064340
ED 124 7.236940
ED 125 8.019940
ED 126 2.548140
ED 127 7.501140
ED 128 3.083940
ED 129 6.722740
ED 130 8.027140
ED 131 2.560140
ED 132 6.980940
ED 133 8.021540
ED 134 2.823540
ED 135 6.708540
ED 136 7.229140
ED 137 6.701940
ED 138 8.255740
ED 139 3.866140
ED 140 5.423340
ED 141 3.861140
ED 142 4.905140
ED 143 5.423540
ED 144 5.941540
ED 145 5.161540
ED 146 5.681740
ED 147 5.680340
ED 148 5.944940
ED 149 8.281740
ED 150 6.496540
ED 151 2.545540
ED 152 4.901340
ED 153 8.315340
ED 154 5.423740
ED 155 8.540340
ED 156 5.164140
ED 157 7.567340
ED 158 5.189540
ED 159 3.081140
ED 160 7.730340
ED 161 8.543140
ED 162 5.681540
ED 163 7.241540
ED 164 3.559740
ED 165 2.825540
ED 166 8.281740
ED 167 5.906940
ED 168 2.827140
ED 169 6.231740
ED 170 5.164140
ED 171 5.423340
ED 172 2.566540
ED 173 4.906340
ED 174 4.903940
ED 175 5.161140
ED 176 4.643940
ED 177 2.825540
ED 178 3.571340
ED 179 7.503540
ED 180 4.092340
ED 181 3.604740
ED 182 3.355540
ED 183 3.877340
ED 184 5.642140
ED 185 7.728340
ED 186 7.759940
ED 187 7.500940
ED 188 7.598540
ED 189 5.423140
ED 190 8.543740
ED 191 7.270340
ED 192 7.734140
ED 193 8.280940
ED 194 7.233540
ED 195 6.965340
ED 196 5.653540
ED 197 6.989940
ED 198 6.494340
ED 199 7.760140
ED 200 8.732340
ED 201 6.722940
ED 202 6.344540
ED 203 8.799540
ED 204 6.981140
ED 205 5.683140
ED 206 6.723940
ED 207 6.462540
ED 208 6.981340
ED 209 5.163540
ED 210 6.981140
ED 211 6.495340
ED 212 5.683540
ED 213 5.424540
ED 214 6.983740
ED 215 5.423740
ED 216 5.682740
ED 217 4.385340
ED 218 0.551660
ED 219 4.384740
ED 220 3.867740
ED 221 4.125740
ED 222 3.607740
ED 223 4.125940
ED 224 4.385940
ED 225 3.608340
ED 226 4.385340
ED 227 9.281540
ED 228 8.798940
ED 229 3.867540
ED 230 4.126540
ED 231 3.608340
ED 232 8.571140
ED 233 9.582940
ED 234 9.320140
ED 235 9.840940
ED 236 8.096260
ED 237 9.644540
ED 238 9.101940
ED 239 9.058140
ED 240 7.241940
ED 241 9.840540
ED 242 9.322740
ED 243 9.587940
ED 244 7.242940
ED 245 3.085540
ED 246 6.481740
ED 247 6.279340
ED 248 6.690540
ED 249 5.945740
ED 250 7.765340
ED 251 6.182140
ED 252 7.537540
ED 253 8.282540
ED 254 8.280140
ED 255 7.536140
ED 256 7.760740
ED 257 8.539740
ED 258 7.243740
ED 259 7.235340
ED 260 7.242540
ED 261 8.548740
ED 262 8.021540
ED 263 8.281140
ED 264 9.320740
ED 265 7.242140
ED 266 7.243340
ED 267 8.281340
ED 268 3.608140
ED 269 3.348940
ED 270 3.605340
ED 271 4.645940
ED 272 1.851060
ED 273 3.347540
ED 274 0.293460
ED 275 3.088340
ED 276 3.416340
ED 277 4.902140
ED 278 5.162740
ED 279 4.645140
ED 280 4.645140
ED 281 4.903340
ED 282 4.124540
ED 283 6.723940
ED 284 3.866740
ED 285 7.504140
ED 286 7.745740
ED 287 4.385540
ED 288 4.125940
ED 289 4.384740
ED 290 9.840140
ED 291 6.689340
ED 292 4.126340
ED 293 0.821260
ED 294 3.865940
ED 295 8.023140
ED 296 7.501940
ED 297 7.759740
ED 298 7.242740
ED 299 8.280740
ED 300 7.244140
ED 301 7.516140
ED 302 4.645140
ED 303 7.779140
ED 304 7.211740
ED 305 7.762940
ED 306 6.984140
ED 308 8.801340
ED 309 7.240340
ED 310 6.465940
ED 311 6.721740
ED 312 7.518140
ED 313 6.981740
ED 314 4.906340
ED 315 1.284460
ED 316 0.553060
ED 317 8.766740
ED 318 4.125940
ED 319 0.465940
ED 320 1.619060
ED 321 8.363660
ED 322 2.305140
ED 323 8.801140
ED 324 9.321340
ED 325 8.801140
ED 326 3.346740
ED 327 3.052740
ED 328 8.022740
ED 329 8.249940
ED 330 8.021140
ED 331 3.572540
ED 332 3.085340
ED 333 8.553940
ED 334 3.346940
ED 335 3.086540
ED 336 3.866940
ED 337 10.359540
ED 338 8.541340
ED 339 8.020740
ED 340 10.631940
ED 341 7.503140
ED 342 10.362540
ED 343 7.731540
ED 344 7.760940
ED 345 9.059940
ED 346 9.600940
ED 347 3.867540
ED 348 0.070060
ED 349 4.385940
ED 350 7.244540
ED 351 5.164740
ED 352 8.800740
ED 353 1.851460
ED 354 4.642540
ED 355 7.757940
ED 356 7.502540
ED 357 8.551340
ED 358 4.126940
ED 359 4.124940
ED 360 7.240540
ED 361 8.766140
ED 362 9.840540
ED 363 9.815140
ED 364 8.801940
ED 365 9.078940
ED 366 10.881340
ED 367 10.362940
ED 368 0.225340
ED 369 8.021340
ED 370 6.462540
ED 371 10.359540
ED 372 10.882340
ED 373 1.593860
ED 374 8.280540
ED 375 10.107740
ED 376 5.162540
