Type ID Timeoffset
ED 1 3.489740
ED 2 4.987784
ED 3 4.856936
ED 4 5.043139
ED 5 4.315623
ED 6 4.529693
ED 7 4.458350
ED 8 2.917677
ED 9 3.382760
ED 10 4.421117
ED 11 4.464968
ED 12 3.808312
ED 13 3.236016
ED 14 3.840291
ED 15 4.589792
ED 16 4.087052
ED 17 4.394198
ED 18 5.062937
ED 19 3.464779
ED 20 4.399582
ED 21 3.807059
ED 22 4.193604
ED 23 5.026490
ED 24 3.198386
ED 25 4.515610
ED 26 3.734283
ED 27 3.749800
ED 28 5.803125
ED 29 3.502311
ED 30 4.249019
ED 31 3.682435
ED 32 4.098532
ED 33 3.425329
ED 34 4.219691
ED 35 4.626286
ED 36 2.821034
ED 37 4.584954
ED 38 4.794012
ED 39 3.853605
ED 40 4.117708
ED 41 4.172140
ED 42 4.695546
ED 43 3.953213
ED 44 2.242032
ED 45 3.858988
ED 46 3.630510
ED 47 3.129774
ED 48 3.127616
ED 49 3.382312
ED 50 3.581301
ED 51 4.558130
ED 52 4.096604
ED 53 3.489486
ED 54 4.283563
ED 55 4.330727
ED 56 4.396079
ED 57 3.128128
ED 58 4.831773
ED 59 2.661103
ED 60 3.765428
ED 61 4.482712
ED 62 4.075851
ED 63 3.583467
ED 64 2.562314
ED 65 4.174808
ED 66 4.112023
ED 67 4.532277
ED 68 4.032902
ED 69 4.350222
ED 70 4.542758
ED 71 3.552962
ED 72 4.797408
ED 73 4.032623
ED 74 4.920953
ED 75 4.937464
ED 76 4.251882
ED 77 2.673653
ED 78 4.300707
ED 79 4.606614
ED 80 4.323737
ED 81 1.889521
ED 82 3.799762
ED 83 3.087521
ED 84 2.335417
ED 85 2.157930
ED 86 2.810208
ED 87 2.192530
ED 88 2.074111
ED 89 4.611167
ED 90 2.360830
ED 91 2.448550
ED 92 2.455167
ED 93 3.279621
ED 94 2.437349
ED 95 3.842454
ED 96 3.065720
ED 97 4.673795
ED 98 2.409685
ED 99 4.505247
ED 100 2.796969
ED 101 3.211507
ED 102 5.022799
ED 103 3.765445
ED 104 2.916255
ED 105 3.042394
ED 106 2.580280
ED 107 2.809018
ED 108 2.756180
ED 109 2.699408
ED 110 2.690982
ED 111 2.411743
ED 112 5.538093
ED 113 3.828393
ED 114 2.547830
ED 115 5.055322
ED 116 2.470508
ED 117 5.004244
ED 118 2.708361
ED 119 4.240945
ED 120 3.592534
ED 121 4.514504
ED 122 2.384510
ED 123 3.124204
ED 124 3.486745
ED 125 4.659339
ED 126 3.063064
ED 127 3.819029
ED 128 2.600483
ED 129 4.705577
ED 130 4.186379
ED 131 3.036850
ED 132 3.729253
ED 133 3.959138
ED 134 2.079817
ED 135 4.431437
ED 136 3.280716
ED 137 3.644540
ED 138 4.267541
ED 139 2.756178
ED 140 3.680613
ED 141 3.052769
ED 142 3.600818
ED 143 3.879549
ED 144 4.312451
ED 145 4.102606
ED 146 4.222310
ED 147 4.092916
ED 148 4.062904
ED 149 3.604027
ED 150 4.631607
ED 151 2.658358
ED 152 1.950708
ED 153 4.238823
ED 154 4.013190
ED 155 4.604513
ED 156 4.098960
ED 157 3.133184
ED 158 3.403213
ED 159 2.257669
ED 160 4.014954
ED 161 3.975040
ED 162 3.939328
ED 163 4.646103
ED 164 3.519661
ED 165 4.034477
ED 166 3.672772
ED 167 3.668309
ED 168 2.053919
ED 169 3.833666
ED 170 3.817939
ED 171 4.216406
ED 172 2.987155
ED 173 3.916585
ED 174 3.826705
ED 175 3.893623
ED 176 3.502297
ED 177 2.675000
ED 178 2.493827
ED 179 3.530593
ED 180 2.762644
ED 181 2.145238
ED 182 2.846615
ED 183 2.420377
ED 184 3.797618
ED 185 4.749196
ED 186 4.235226
ED 187 3.727174
ED 188 3.426843
ED 189 4.135541
ED 190 4.316064
ED 191 3.393186
ED 192 4.619503
ED 193 4.589745
ED 194 3.519274
ED 195 3.473901
ED 196 4.450059
ED 197 4.475486
ED 198 3.066454
ED 199 4.143393
ED 200 4.575411
ED 201 3.910949
ED 202 4.557167
ED 203 4.301516
ED 204 4.848541
ED 205 5.124946
ED 206 4.315293
ED 207 5.082616
ED 208 4.561521
ED 209 4.907253
ED 210 4.522870
ED 211 4.417238
ED 212 4.591913
ED 213 3.849464
ED 214 4.808374
ED 215 3.386209
ED 216 4.369126
ED 217 3.806343
ED 218 3.630827
ED 219 3.549715
ED 220 3.743692
ED 221 4.300296
ED 222 3.590295
ED 223 3.427485
ED 224 4.136315
ED 225 4.198748
ED 226 3.972329
ED 227 4.542006
ED 228 4.252336
ED 229 3.321824
ED 230 4.468554
ED 231 3.686636
ED 232 4.447740
ED 233 4.639148
ED 234 4.633672
ED 235 5.668351
ED 236 3.629125
ED 237 5.353155
ED 238 4.551689
ED 239 4.638297
ED 240 3.639881
ED 241 5.987872
ED 242 5.303434
ED 243 4.892486
ED 244 4.487669
ED 245 3.024683
ED 246 4.597966
ED 247 3.735305
ED 248 5.212626
ED 249 3.755639
ED 250 5.635383
ED 251 4.392114
ED 252 5.013890
ED 253 6.710308
ED 254 7.048552
ED 255 5.028362
ED 256 4.675922
ED 257 5.420756
ED 258 4.893978
ED 259 4.875675
ED 260 4.196970
ED 261 4.740713
ED 262 5.470006
ED 263 4.343319
ED 264 6.876240
ED 265 4.745162
ED 266 4.811818
ED 267 5.615772
ED 268 4.285884
ED 269 4.117239
ED 270 4.402145
ED 271 6.623583
ED 272 3.567874
ED 273 4.404528
ED 274 3.599562
ED 275 3.714483
ED 276 4.791775
ED 277 4.324482
ED 278 4.088084
ED 279 3.970863
ED 280 3.681599
ED 281 4.266503
ED 282 3.438641
ED 283 4.056891
ED 284 3.852885
ED 285 4.557934
ED 286 4.798215
ED 287 3.827065
ED 288 3.435314
ED 289 4.023705
ED 290 5.571615
ED 291 4.310864
ED 292 4.019561
ED 293 3.907649
ED 294 4.207253
ED 295 4.612201
ED 296 4.534971
ED 297 4.678812
ED 298 5.239992
ED 299 3.702529
ED 300 5.230365
ED 301 4.401949
ED 302 3.899081
ED 303 4.506053
ED 304 4.752026
ED 305 4.218034
ED 306 4.867404
ED 308 5.559010
ED 309 5.329391
ED 310 4.117998
ED 311 4.617020
ED 312 4.492192
ED 313 4.639180
ED 314 3.779040
ED 315 3.782008
ED 316 4.324221
ED 317 4.760948
ED 318 3.639889
ED 319 3.654728
ED 320 3.427765
ED 321 3.447632
ED 322 2.546023
ED 323 5.484838
ED 324 5.878205
ED 325 5.612376
ED 326 3.060076
ED 327 2.943670
ED 328 4.490688
ED 329 4.574231
ED 330 5.178905
ED 331 2.497987
ED 332 3.739988
ED 333 4.389116
ED 334 3.524641
ED 335 3.335287
ED 336 3.850263
ED 337 6.004923
ED 338 5.296031
ED 339 5.180251
ED 340 6.037906
ED 341 4.928078
ED 342 6.074623
ED 343 4.787858
ED 344 3.993180
ED 345 3.750940
ED 346 4.929854
ED 347 4.135618
ED 348 4.673838
ED 349 2.983465
ED 350 5.855296
ED 351 3.888011
ED 352 5.228463
ED 353 3.996941
ED 354 4.558619
ED 355 4.984596
ED 356 4.952775
ED 357 4.954341
ED 358 3.651219
ED 359 4.276525
ED 360 4.397203
ED 361 4.625609
ED 362 4.856115
ED 363 4.303924
ED 364 5.741458
ED 365 5.309059
ED 366 6.026859
ED 367 5.525641
ED 368 3.499253
ED 369 4.816753
ED 370 4.078062
ED 371 4.984122
ED 372 6.100297
ED 373 3.451857
ED 374 4.749804
ED 375 5.118215
ED 376 4.521687
ED 377 6.671305
ED 378 4.733345
ED 379 5.982964
ED 380 4.140808
