Type ID Timeoffset
ED 1 14.959676
ED 2 6.624338
ED 3 15.987384
ED 4 15.415416
ED 5 3.875724
ED 6 5.271445
ED 7 4.939913
ED 8 14.598778
ED 9 12.144184
ED 10 12.976534
ED 11 4.465161
ED 12 13.094584
ED 13 15.095945
ED 14 14.933306
ED 15 14.958375
ED 16 5.850230
ED 17 16.916322
ED 18 15.338693
ED 19 12.938700
ED 20 15.451982
ED 21 5.588141
ED 22 14.641086
ED 23 15.548986
ED 24 4.157753
ED 25 9.979965
ED 26 15.122801
ED 27 5.122165
ED 28 14.352248
ED 29 6.415502
ED 30 14.860471
ED 31 15.093255
ED 32 14.641785
ED 33 14.047433
ED 34 5.614637
ED 35 5.285877
ED 36 4.277759
ED 37 5.000001
ED 38 5.653242
ED 39 4.555611
ED 40 3.920690
ED 41 3.738812
ED 42 5.043032
ED 43 4.622940
ED 44 4.125551
ED 45 4.441410
ED 46 4.004862
ED 47 3.903967
ED 48 4.606322
ED 49 4.427144
ED 50 3.546834
ED 51 1.369928
ED 52 3.416066
ED 53 5.589425
ED 54 4.861589
ED 55 4.447729
ED 56 4.740665
ED 57 3.447426
ED 58 5.393428
ED 59 -2.243046
ED 60 4.856413
ED 61 5.213960
ED 62 5.048215
ED 63 3.998022
ED 64 2.814858
ED 65 5.840649
ED 66 4.856090
ED 67 3.913539
ED 68 4.568409
ED 69 5.205064
ED 70 5.152370
ED 71 5.478828
ED 72 4.480368
ED 73 4.313868
ED 74 4.707977
ED 75 5.180277
ED 76 4.082106
ED 77 4.250439
ED 78 4.269199
ED 79 6.416580
ED 80 4.705327
ED 81 2.038876
ED 82 3.925227
ED 83 3.975724
ED 84 3.729702
ED 85 2.519564
ED 86 3.024809
ED 87 4.154391
ED 88 3.737494
ED 89 5.127099
ED 90 4.003332
ED 91 2.611153
ED 92 4.573769
ED 93 4.911360
ED 94 4.196096
ED 95 4.781272
ED 96 4.226802
ED 97 4.298623
ED 98 4.464479
ED 99 5.579140
ED 100 3.706267
ED 101 4.041107
ED 102 6.160948
ED 103 5.528343
ED 104 3.005178
ED 105 4.535330
ED 106 2.347160
ED 107 4.523046
ED 108 6.625587
ED 109 3.902653
ED 110 4.769445
ED 111 2.858516
ED 112 6.413242
ED 113 5.521352
ED 114 -0.120809
ED 115 7.277035
ED 116 4.254594
ED 117 4.784294
ED 118 3.577657
ED 119 4.746231
ED 120 4.165420
ED 121 5.791097
ED 122 3.529047
ED 123 2.632896
ED 124 4.730913
ED 125 4.133918
ED 126 3.975566
ED 127 4.350343
ED 128 3.686148
ED 129 5.071764
ED 130 4.116515
ED 131 3.888428
ED 132 5.310092
ED 133 4.013790
ED 134 5.558030
ED 135 5.222994
ED 136 4.186220
ED 137 3.144089
ED 138 3.778642
ED 139 3.935027
ED 140 4.439638
ED 141 5.714228
ED 142 5.185101
ED 143 4.937110
ED 144 3.486784
ED 145 5.309012
ED 146 4.138460
ED 147 5.249101
ED 148 4.008995
ED 149 3.602320
ED 150 4.790818
ED 151 3.368419
ED 152 3.066111
ED 153 4.376815
ED 154 4.116698
ED 155 4.998549
ED 156 2.978897
ED 157 2.969618
ED 158 3.127295
ED 159 5.833401
ED 160 4.292022
ED 161 3.958693
ED 162 4.438779
ED 163 5.162378
ED 164 4.429410
ED 165 4.663514
ED 166 3.135449
ED 167 3.757430
ED 168 4.038898
ED 169 3.184942
ED 170 4.141858
ED 171 4.617359
ED 172 3.412436
ED 173 4.727075
ED 174 4.310201
ED 175 3.740061
ED 176 3.790825
ED 177 4.095499
ED 178 3.001549
ED 179 4.950979
ED 180 4.293529
ED 181 3.122817
ED 182 2.145182
ED 183 4.041749
ED 184 3.208186
ED 185 6.483770
ED 186 4.649036
ED 187 4.165886
ED 188 4.622343
ED 189 5.633651
ED 190 3.950703
ED 191 4.070107
ED 192 4.324920
ED 193 4.907800
ED 194 3.540026
ED 195 2.968734
ED 196 5.053830
ED 197 5.127557
ED 198 3.241135
ED 199 4.776289
ED 200 3.995182
ED 201 5.489982
ED 202 2.906814
ED 203 4.200834
ED 204 5.202239
ED 205 6.991839
ED 206 4.990035
ED 207 6.186916
ED 208 5.912743
ED 209 5.694335
ED 210 4.148442
ED 211 5.039117
ED 212 5.104509
ED 213 4.611384
ED 214 4.037770
ED 215 3.947324
ED 216 5.374785
ED 217 4.607629
ED 218 4.865516
ED 219 4.344850
ED 220 4.945820
ED 221 4.210193
ED 222 2.528119
ED 223 4.339767
ED 224 5.900211
ED 225 5.304017
ED 226 6.764984
ED 227 4.153548
ED 228 4.536975
ED 229 3.241798
ED 230 4.630482
ED 231 3.351112
ED 232 5.366141
ED 233 4.211457
ED 234 4.759093
ED 235 6.071617
ED 236 4.425287
ED 237 5.395922
ED 238 5.191124
ED 239 4.500826
ED 240 5.802912
ED 241 5.230719
ED 242 4.761538
ED 243 5.790913
ED 244 5.536138
ED 245 4.476529
ED 246 3.407885
ED 247 4.582850
ED 248 6.343057
ED 249 5.193940
ED 250 4.576118
ED 251 4.328330
ED 252 4.256082
ED 253 6.944899
ED 254 7.730352
ED 255 4.980016
ED 256 4.728810
ED 257 5.422957
ED 258 6.650147
ED 259 4.288974
ED 260 4.791772
ED 261 3.942024
ED 262 5.497079
ED 263 5.519578
ED 264 5.275073
ED 265 3.922399
ED 266 6.575246
ED 267 6.315777
ED 268 4.956683
ED 269 4.823426
ED 270 3.939224
ED 271 6.905016
ED 272 3.395920
ED 273 3.551534
ED 274 4.580535
ED 275 3.674809
ED 276 5.349990
ED 277 4.149645
ED 278 3.913036
ED 279 5.952164
ED 280 4.135322
ED 281 6.263087
ED 282 4.671462
ED 283 6.091748
ED 284 5.518598
ED 285 4.881998
ED 286 6.363452
ED 287 4.747521
ED 288 4.522456
ED 289 5.816755
ED 290 5.448912
ED 291 5.094941
ED 292 5.301191
ED 293 4.522171
ED 294 5.516240
ED 295 3.355055
ED 296 4.979051
ED 297 5.487540
ED 298 5.597323
ED 299 5.431026
ED 300 5.878644
ED 301 6.692618
ED 302 5.791691
ED 303 4.137476
ED 304 5.783073
ED 305 4.013553
ED 306 4.629676
ED 308 7.388551
ED 309 6.426246
ED 310 5.297493
ED 311 5.670708
ED 312 5.466543
ED 313 5.578867
ED 314 4.160838
ED 315 4.542202
ED 316 5.563047
ED 317 4.089331
ED 318 5.270986
ED 319 5.423632
ED 320 4.522097
ED 321 5.810805
ED 322 4.652807
ED 323 5.578546
ED 324 6.963090
ED 325 5.607855
ED 326 3.834246
ED 327 3.542908
ED 328 4.786954
ED 329 4.681525
ED 330 5.919962
ED 331 4.420733
ED 332 4.492037
ED 333 4.244134
ED 334 4.524247
ED 335 4.314446
ED 336 4.976797
ED 337 6.941749
ED 338 5.902956
ED 339 4.952062
ED 340 1.475463
ED 341 4.850298
ED 342 3.068406
ED 343 5.652354
ED 344 4.409057
ED 345 4.471637
ED 346 5.887740
ED 347 6.113285
ED 348 5.338437
ED 349 2.633449
ED 350 6.125887
ED 351 5.809829
ED 352 5.256422
ED 353 6.083597
ED 354 4.293952
ED 355 4.931878
ED 356 4.731597
ED 357 5.520530
ED 358 3.181122
ED 359 4.406794
ED 360 5.966830
ED 361 4.942112
ED 362 6.130622
ED 363 9.528239
ED 364 5.558083
ED 365 4.130704
ED 366 5.452696
ED 367 5.124257
ED 368 6.018593
ED 369 5.241709
ED 370 4.410149
ED 371 4.760705
ED 372 5.880979
ED 373 4.251890
ED 374 4.510452
ED 375 4.800902
ED 376 5.130207
ED 377 7.086246
ED 378 5.026563
ED 379 4.525914
ED 380 4.434494
ED 381 5.207888
ED 382 4.905783
ED 383 5.941086
ED 384 3.686865
ED 385 4.248589
ED 386 6.088059
ED 387 6.596379
ED 388 4.420791
ED 389 3.426837
ED 390 5.370643
ED 391 4.152272
ED 392 6.088865
ED 393 4.653315
ED 394 4.295588
ED 395 6.367212
ED 396 4.158853
ED 397 6.040137
ED 398 4.817406
ED 399 5.213331
ED 400 6.237980
ED 401 5.354576
ED 402 6.175245
ED 403 4.589956
ED 404 4.313610
ED 405 5.068329
ED 406 3.910366
ED 407 4.621495
ED 408 5.187698
ED 409 3.519816
ED 410 4.378811
ED 411 4.187829
ED 412 4.283270
ED 413 3.654559
ED 414 5.477206
ED 415 2.802589
ED 416 1.502265
ED 417 4.787263
ED 418 5.717560
ED 419 4.450833
ED 420 3.555562
ED 421 5.022799
ED 422 4.988681
ED 423 6.558257
ED 424 6.933302
ED 425 3.957946
ED 426 5.408237
ED 427 4.497268
ED 428 6.114326
ED 429 4.419409
ED 430 4.227961
ED 431 3.993036
ED 432 4.168251
ED 433 4.462389
ED 434 7.111092
ED 435 5.765949
ED 436 3.610599
ED 437 6.887567
ED 438 5.674445
ED 439 4.889608
ED 440 4.778204
ED 441 5.827677
ED 442 8.136547
ED 443 5.021698
ED 444 5.986921
ED 445 4.768808
ED 446 5.576498
ED 447 4.570527
ED 448 5.707494
ED 449 5.310054
ED 450 4.519721
ED 451 4.532860
ED 452 3.945185
ED 453 5.294779
ED 454 8.875766
ED 455 5.874011
ED 456 6.073745
ED 457 5.697305
ED 458 5.985602
ED 459 5.926583
ED 460 7.997601
ED 461 5.262374
ED 462 5.695014
ED 463 6.622566
ED 464 4.102836
ED 465 6.602818
ED 466 7.743303
ED 467 4.830966
ED 468 5.535116
ED 469 9.077960
ED 470 5.850676
ED 471 5.603404
ED 472 5.978761
ED 473 5.610392
ED 474 4.662588
ED 475 3.423126
ED 476 5.877787
ED 477 3.807108
ED 478 5.804587
ED 479 6.120481
ED 480 3.506430
ED 481 3.890727
ED 482 5.079405
ED 483 4.960380
ED 484 4.892023
ED 485 5.158658
ED 486 6.183430
ED 487 5.186375
ED 488 5.773627
ED 489 4.640207
ED 490 5.607085
ED 491 5.868921
ED 492 6.381388
ED 493 4.532133
ED 494 4.821130
ED 495 5.119165
ED 496 4.154173
ED 497 6.926880
ED 498 5.236173
ED 499 4.499627
ED 500 4.198399
ED 501 4.997280
ED 502 5.491740
ED 503 6.490204
ED 504 5.276021
ED 505 5.696401
ED 506 4.426228
ED 507 4.701506
ED 508 5.858196
ED 509 5.902361
ED 510 6.376996
ED 511 5.087834
ED 512 5.697215
ED 513 5.221177
ED 514 5.979299
ED 515 4.705641
ED 516 8.319673
