Type ID Timeoffset
ED 1 6.871503
ED 2 6.883985
ED 3 6.013765
ED 4 6.508398
ED 5 5.443441
ED 6 6.258593
ED 7 6.715330
ED 8 6.716823
ED 9 6.673426
ED 10 5.516994
ED 11 6.982974
ED 12 5.553707
ED 13 5.588201
ED 14 6.301362
ED 15 3.477562
ED 16 6.179485
ED 17 3.395566
ED 18 6.181288
ED 19 6.498015
ED 20 5.537247
ED 21 4.470089
ED 22 6.787627
ED 23 7.540141
ED 24 6.748619
ED 25 7.287242
ED 26 4.335997
ED 27 7.416927
ED 28 3.049724
ED 29 7.485955
ED 30 5.780109
ED 31 6.284026
ED 32 3.635232
ED 33 4.632429
ED 34 7.958023
ED 35 4.882680
ED 36 5.168081
ED 37 4.316252
ED 38 4.553465
ED 39 3.535537
ED 40 4.668508
ED 41 4.983463
ED 42 4.322154
ED 43 4.620990
ED 44 4.938169
ED 45 4.361991
ED 46 4.143870
ED 47 3.718746
ED 48 5.612967
ED 49 4.539645
ED 50 2.151081
ED 51 5.875701
ED 52 3.047805
ED 53 3.302956
ED 54 4.325004
ED 55 3.745285
ED 56 4.678673
ED 57 3.711226
ED 58 5.001351
ED 59 7.341875
ED 60 6.032342
ED 61 5.430815
ED 62 5.134385
ED 63 3.766463
ED 64 5.474040
ED 65 4.772169
ED 66 4.012974
ED 67 2.702039
ED 68 3.725916
ED 69 4.810658
ED 70 4.751354
ED 71 5.622286
ED 72 4.074177
ED 73 6.550268
ED 74 4.651785
ED 75 5.959320
ED 76 3.972372
ED 77 7.404046
ED 78 3.478355
ED 79 5.265744
ED 80 4.823991
ED 81 6.145300
ED 82 5.046831
ED 83 6.095039
ED 84 8.062164
ED 85 5.905843
ED 86 6.212296
ED 87 5.987194
ED 88 5.473112
ED 89 4.658213
ED 90 6.468588
ED 91 4.440669
ED 92 7.404731
ED 93 6.986580
ED 94 4.558506
ED 95 5.541979
ED 96 6.320695
ED 97 5.252139
ED 98 5.726183
ED 99 5.031371
ED 100 6.640899
ED 101 5.907131
ED 102 4.753959
ED 103 7.531007
ED 104 3.581163
ED 105 6.336290
ED 106 5.585222
ED 107 4.106342
ED 108 7.331470
ED 109 8.236231
ED 110 4.733778
ED 111 6.084952
ED 112 5.243146
ED 113 5.293825
ED 114 7.658766
ED 115 5.967328
ED 116 5.892736
ED 117 4.781881
ED 118 5.861400
ED 119 3.439020
ED 120 5.394846
ED 121 4.312959
ED 122 7.680263
ED 123 5.398701
ED 124 2.591839
ED 125 4.117935
ED 126 8.000379
ED 127 4.320474
ED 128 3.999721
ED 129 3.277681
ED 130 2.592819
ED 131 7.566616
ED 132 3.976878
ED 133 3.044679
ED 134 6.661370
ED 135 4.469867
ED 136 3.213928
ED 137 4.395799
ED 138 5.105503
ED 139 4.911812
ED 140 5.181280
ED 141 6.938157
ED 142 4.300192
ED 143 4.321267
ED 144 5.173127
ED 145 5.151604
ED 146 4.689647
ED 147 5.191176
ED 148 4.874766
ED 149 2.417262
ED 150 5.744963
ED 151 7.974962
ED 152 6.830513
ED 153 3.512152
ED 154 4.489893
ED 155 2.889136
ED 156 4.541432
ED 157 4.357070
ED 158 4.855567
ED 159 7.969681
ED 160 2.995924
ED 161 1.367759
ED 162 5.349764
ED 163 5.256455
ED 164 7.183285
ED 165 7.692315
ED 166 3.918254
ED 167 3.513830
ED 168 6.075277
ED 169 3.019416
ED 170 5.094699
ED 171 4.146701
ED 172 6.518981
ED 173 4.660290
ED 174 4.979357
ED 175 5.101788
ED 176 4.210833
ED 177 7.404518
ED 178 6.210496
ED 179 4.275796
ED 180 4.562024
ED 181 6.766929
ED 182 6.999598
ED 183 5.550232
ED 184 5.385406
ED 185 4.681979
ED 186 3.154297
ED 187 3.097020
ED 188 2.546421
ED 189 4.523543
ED 190 3.269073
ED 191 4.039792
ED 192 3.950923
ED 193 3.714747
ED 194 4.475613
ED 195 4.249469
ED 196 5.323984
ED 197 3.569634
ED 198 4.549536
ED 199 2.733947
ED 200 3.862839
ED 201 4.289726
ED 202 5.246782
ED 203 3.040723
ED 204 5.119304
ED 205 6.421693
ED 206 4.812451
ED 207 5.217764
ED 208 6.062290
ED 209 5.160643
ED 210 3.633934
ED 211 3.994655
ED 212 4.315339
ED 213 4.552444
ED 214 4.961742
ED 215 5.250678
ED 216 4.365258
ED 217 5.150721
ED 218 5.592056
ED 219 5.152189
ED 220 5.105605
ED 221 5.040853
ED 222 4.569897
ED 223 5.047951
ED 224 4.813096
ED 225 4.855179
ED 226 4.628232
ED 227 3.573739
ED 228 1.879871
ED 229 6.076609
ED 230 3.720893
ED 231 4.506919
ED 232 5.043628
ED 233 2.871378
ED 234 3.380456
ED 235 2.634436
ED 236 4.132337
ED 237 2.653522
ED 238 2.968655
ED 239 3.689702
ED 240 5.638892
ED 241 2.592004
ED 242 3.911849
ED 243 3.002426
ED 244 5.994088
ED 245 6.989366
ED 246 3.975004
ED 247 4.955153
ED 248 5.639358
ED 249 5.436932
ED 250 4.310127
ED 251 4.016332
ED 252 4.636041
ED 253 4.303915
ED 254 6.713457
ED 255 3.976560
ED 256 3.000530
ED 257 4.112595
ED 258 4.030502
ED 259 3.459982
ED 260 4.259000
ED 261 3.841457
ED 262 4.166204
ED 263 3.153050
ED 264 3.053003
ED 265 5.730372
ED 266 3.876955
ED 267 4.547095
ED 268 7.183782
ED 269 5.999519
ED 270 4.950189
ED 271 5.290326
ED 272 7.103700
ED 273 4.506352
ED 274 4.573535
ED 275 5.064307
ED 276 4.964702
ED 277 4.995500
ED 278 4.196644
ED 279 6.260615
ED 280 5.036946
ED 281 5.033913
ED 282 5.850984
ED 283 3.800840
ED 284 5.689051
ED 285 3.888270
ED 286 3.926741
ED 287 5.014155
ED 288 4.986433
ED 289 6.093937
ED 290 2.653889
ED 291 3.881374
ED 292 4.054365
ED 293 5.118496
ED 294 5.059140
ED 295 1.848732
ED 296 5.091009
ED 297 3.835217
ED 298 5.112421
ED 299 1.743617
ED 300 4.497799
ED 301 4.443275
ED 302 6.455334
ED 303 4.259429
ED 304 3.985281
ED 305 3.619017
ED 306 4.053252
ED 308 3.937039
ED 309 4.617301
ED 310 5.246952
ED 311 4.375358
ED 312 3.677282
ED 313 5.226271
ED 314 4.992904
ED 315 6.064482
ED 316 6.071246
ED 317 1.839827
ED 318 5.357025
ED 319 5.641101
ED 320 4.512129
ED 321 4.702068
ED 322 8.406554
ED 323 3.295038
ED 324 2.914278
ED 325 3.821847
ED 326 8.092832
ED 327 7.136474
ED 328 3.460140
ED 329 3.244018
ED 330 4.796364
ED 331 6.074967
ED 332 6.185529
ED 333 3.000897
ED 334 7.299014
ED 335 7.777014
ED 336 5.093315
ED 337 3.086519
ED 338 4.556644
ED 339 2.789897
ED 340 3.922415
ED 341 4.226181
ED 342 3.853329
ED 343 4.402894
ED 344 4.223673
ED 345 2.764151
ED 346 3.343436
ED 347 6.149678
ED 348 9.121453
ED 349 5.077483
ED 350 5.750919
ED 351 6.409587
ED 352 2.836280
ED 353 5.327420
