Type ID Timeoffset
ED 1 2.495129
ED 2 -0.378841
ED 3 3.578275
ED 4 0.353588
ED 5 2.799940
ED 6 0.307805
ED 7 -2.556347
ED 8 -0.447349
ED 9 0.152094
ED 10 -0.747395
ED 11 4.357094
ED 12 -3.113010
ED 13 -0.518524
ED 14 -4.462033
ED 15 -3.443952
ED 16 -4.186017
ED 17 2.972905
ED 18 -1.112350
ED 19 1.363293
ED 20 -0.896061
ED 21 6.017843
ED 22 -3.314625
ED 23 4.260551
ED 24 -1.511452
ED 25 0.633300
ED 26 -1.284391
ED 27 -0.508545
ED 28 7.458403
ED 29 -0.505839
ED 30 6.155640
ED 31 0.104317
ED 32 -1.195028
ED 33 4.348408
ED 34 0.279415
ED 35 4.141599
ED 36 2.672843
ED 37 -0.379411
ED 38 -0.702592
ED 39 -0.681105
ED 40 -0.719823
ED 41 -3.560433
ED 42 0.335782
ED 43 -0.169856
ED 44 -1.352709
ED 45 -4.792004
ED 46 5.361172
ED 47 -1.698595
ED 48 -0.946149
ED 49 -4.242620
ED 50 -4.084845
ED 51 -6.294057
ED 52 4.354416
ED 53 1.970107
ED 54 0.917876
ED 55 0.518713
ED 56 -3.676877
ED 57 -1.958527
ED 58 -2.524597
ED 59 -8.603879
ED 60 -4.658441
ED 61 -4.368618
ED 62 -1.136664
ED 63 4.270685
ED 64 -2.582442
ED 65 -7.392864
ED 66 -1.424504
ED 67 4.705813
ED 68 -2.778113
ED 69 0.601521
ED 70 -0.791326
ED 71 -2.891007
ED 72 -0.950078
ED 73 -1.333747
ED 74 -0.202482
ED 75 2.795980
ED 76 1.070773
ED 77 -1.100354
ED 78 3.703540
ED 79 0.821552
ED 80 -1.865450
ED 81 1.618516
ED 82 4.053596
ED 83 1.403119
ED 84 -3.514153
ED 85 -0.415308
ED 86 -2.617243
ED 87 -2.911889
ED 88 -5.024264
ED 89 2.686488
ED 90 0.352712
ED 91 -5.726827
ED 92 3.178465
ED 93 -0.033343
ED 94 -1.574032
ED 95 -1.455201
ED 96 0.417454
ED 97 -2.112506
ED 98 3.520529
ED 99 -0.674031
ED 100 -0.640411
ED 101 2.608908
ED 102 2.306711
ED 103 -4.724333
ED 104 0.848493
ED 105 -1.796892
ED 106 -2.696373
ED 107 4.885807
ED 108 -0.541302
ED 109 -0.654901
ED 110 -2.251461
ED 111 1.484071
ED 112 -5.165816
ED 113 -6.454754
ED 114 0.554952
ED 115 -5.856846
ED 116 -3.986107
ED 117 -3.276793
ED 118 -0.854317
ED 119 -2.297781
ED 120 2.247954
ED 121 -7.001978
ED 122 -1.793969
ED 123 -3.476998
ED 124 -1.191557
ED 125 2.473072
ED 126 -5.344274
ED 127 3.293219
ED 128 -2.886627
ED 129 3.257708
ED 130 1.090283
ED 131 -0.896705
ED 132 -2.791069
ED 133 -4.720259
ED 134 3.072392
ED 135 -3.305225
ED 136 -1.235232
ED 137 -5.822720
ED 138 -3.925000
ED 139 -0.833630
ED 140 -2.172291
ED 141 3.531382
ED 142 -1.548870
ED 143 -2.055504
ED 144 -7.933252
ED 145 -1.320555
ED 146 6.099831
ED 147 -1.205905
ED 148 -1.111682
ED 149 2.222044
ED 150 -0.740829
ED 151 -3.410291
ED 152 -1.715661
ED 153 2.138520
ED 154 -1.944767
ED 155 0.016568
ED 156 1.787984
ED 157 -1.782658
ED 158 -1.504219
ED 159 -3.331440
ED 160 2.333484
ED 161 -1.469836
ED 162 2.073448
ED 163 1.059484
ED 164 1.752543
ED 165 2.807967
ED 166 3.363791
ED 167 -6.811297
ED 168 -3.234280
ED 169 -0.390455
ED 170 5.360299
ED 171 3.611570
ED 172 -2.304703
ED 173 -4.868519
ED 174 -6.244224
ED 175 5.928954
