Type ID Timeoffset
ED 1 -0.653347
ED 2 0.740513
ED 3 1.001093
ED 4 0.475717
ED 5 0.150724
ED 6 0.447829
ED 7 0.276718
ED 8 -0.564647
ED 9 0.086110
ED 10 0.133316
ED 11 0.154507
ED 12 -0.323413
ED 13 -0.507846
ED 14 -0.211476
ED 15 0.291766
ED 16 -0.411180
ED 17 0.413157
ED 18 0.596203
ED 19 -0.262384
ED 20 0.283123
ED 21 -0.137139
ED 22 -0.016215
ED 23 0.526723
ED 24 -0.661500
ED 25 0.778980
ED 26 0.229948
ED 27 -0.154780
ED 28 2.256572
ED 29 -0.233475
ED 30 0.158876
ED 31 -0.012928
ED 32 0.264644
ED 33 -0.199035
ED 34 0.203000
ED 35 0.052832
ED 36 -0.887795
ED 37 0.576591
ED 38 0.403316
ED 39 0.167740
ED 40 -0.282487
ED 41 0.144829
ED 42 0.495548
ED 43 -0.052669
ED 44 -1.415841
ED 45 -0.343822
ED 46 0.133577
ED 47 -0.581986
ED 48 -0.176037
ED 49 -0.657465
ED 50 -0.341539
ED 51 0.110320
ED 52 0.542115
ED 53 0.518496
ED 54 0.170743
ED 55 0.290362
ED 56 -0.010033
ED 57 -0.015036
ED 58 0.171991
ED 59 -0.838161
ED 60 -0.612743
ED 61 -0.209197
ED 62 -0.170069
ED 63 -0.268801
ED 64 -1.460369
ED 65 -0.398642
ED 66 -0.061179
ED 67 -0.188076
ED 68 -0.000290
ED 69 0.246151
ED 70 0.474115
ED 71 -0.215891
ED 72 0.488494
ED 73 -0.573876
ED 74 0.614519
ED 75 0.273252
ED 76 0.072790
ED 77 -1.514197
ED 78 0.401541
ED 79 0.048835
ED 80 0.148822
ED 81 -1.444430
ED 82 -0.062396
ED 83 -1.319345
ED 84 -1.299646
ED 85 -1.563395
ED 86 -0.694706
ED 87 -1.598174
ED 88 -1.309764
ED 89 0.109408
ED 90 -1.011876
ED 91 -1.361215
ED 92 -1.267505
ED 93 -0.853084
ED 94 -1.026106
ED 95 -0.284693
ED 96 -0.731798
ED 97 -0.201552
ED 98 -0.993084
ED 99 -0.195870
ED 100 -1.398115
ED 101 -1.150735
ED 102 0.235545
ED 103 -0.175033
ED 104 -0.112984
ED 105 -1.011380
ED 106 -1.034046
ED 107 -0.683043
ED 108 -0.855456
ED 109 -0.996328
ED 110 -0.846032
ED 111 -1.326268
ED 112 0.234704
ED 113 -0.143955
ED 114 -1.050548
ED 115 0.527977
ED 116 -0.956732
ED 117 -0.736078
ED 118 -0.583686
ED 119 -0.188899
ED 120 -0.245951
ED 121 0.009441
ED 122 -1.850325
ED 123 -0.794417
ED 124 0.025632
ED 125 0.360717
ED 126 -0.577825
ED 127 -0.267469
ED 128 -1.932696
ED 129 0.380058
ED 130 -0.063689
ED 131 -0.906080
ED 132 -0.007398
ED 133 -0.097384
ED 134 -1.330295
ED 135 -0.105807
ED 136 -0.858557
ED 137 -0.143241
ED 138 -0.016035
ED 139 -1.594172
ED 140 -0.312134
ED 141 -0.581211
ED 142 -0.277997
ED 143 -0.335247
ED 144 -0.119938
ED 145 -0.259496
ED 146 -0.262706
ED 147 0.040536
ED 148 -0.360249
ED 149 -0.102923
ED 150 0.454977
ED 151 -0.862910
ED 152 -1.031665
ED 153 -0.129469
ED 154 0.405748
ED 155 0.032389
ED 156 0.071593
ED 157 -0.563278
ED 158 -0.530926
ED 159 -1.356709
ED 160 0.097253
ED 161 0.007510
ED 162 0.010009
ED 163 0.339646
ED 164 -1.131274
ED 165 -0.103372
ED 166 -0.183959
ED 167 0.139412
ED 168 -1.402878
ED 169 0.575012
ED 170 0.207935
ED 171 -0.030726
ED 172 -1.055323
