ED ID NormlizedTimeoffset
ED 1 10.458750
ED 2 2.327008
ED 3 11.906964
ED 4 8.723792
ED 5 0.696237
ED 6 0.727719
ED 7 0.052655
ED 8 11.016435
ED 9 8.610547
ED 10 8.712648
ED 11 -1.050430
ED 12 8.544809
ED 13 10.504921
ED 14 9.283934
ED 15 10.025690
ED 16 1.192662
ED 17 10.690242
ED 18 11.260380
ED 19 10.526217
ED 20 10.648786
ED 21 0.819606
ED 22 9.084107
ED 23 11.318795
ED 24 -1.358375
ED 25 4.445607
ED 26 10.575829
ED 27 0.554541
ED 28 8.657303
ED 29 1.566888
ED 30 10.332083
ED 31 9.994752
ED 32 9.967853
ED 33 9.526154
ED 34 0.919841
ED 35 -1.851365
ED 36 -0.320516
ED 37 0.023045
ED 38 -0.594297
ED 39 0.582400
ED 40 -1.084698
ED 41 -0.994101
ED 42 -1.243914
ED 43 1.053886
ED 44 -1.101722
ED 45 -2.832489
ED 46 0.430210
ED 47 -0.208355
ED 48 -0.056250
ED 49 -0.637809
ED 50 -0.612551
ED 51 -5.238140
ED 52 -1.613907
ED 53 2.174521
ED 54 -0.849646
ED 55 -0.841050
ED 56 -0.745703
ED 57 0.761317
ED 58 -0.797904
ED 59 -6.126760
ED 60 -1.412906
ED 61 -0.781994
ED 62 -1.565862
ED 63 -1.417273
ED 64 -2.072775
ED 65 -0.291793
ED 66 -1.039440
ED 67 -1.306207
ED 68 1.102567
ED 69 0.149320
ED 70 0.058934
ED 71 -0.349930
ED 72 -1.746443
ED 73 -0.768518
ED 74 -0.200191
ED 75 -1.229210
ED 76 -2.143894
ED 77 -0.001743
ED 78 -1.091023
ED 79 0.204631
ED 80 -0.855155
ED 81 -1.398557
ED 82 0.833774
ED 83 -1.076655
ED 84 -0.477479
ED 85 -1.232905
ED 86 -1.739733
ED 87 -1.727279
ED 88 -1.048732
ED 89 -0.908490
ED 90 -1.134274
ED 91 -0.603197
ED 92 0.295236
ED 93 -0.370686
ED 94 -1.613929
ED 95 -2.136583
ED 96 1.659963
ED 97 -3.801229
ED 98 -0.272101
ED 99 -0.963125
ED 100 -1.487447
ED 101 0.365886
ED 102 0.365379
ED 103 -0.724742
ED 104 -0.843863
ED 105 -1.113012
ED 106 -1.399025
ED 107 0.822053
ED 108 2.196302
ED 109 -0.515438
ED 110 0.137952
ED 111 -1.656562
ED 112 -3.506322
ED 113 -1.314057
ED 114 -4.131513
ED 115 -2.231382
ED 116 -0.942079
ED 117 -2.407302
ED 118 -0.671655
ED 119 -0.537769
ED 120 -2.699953
ED 121 -1.440095
ED 122 -0.212660
ED 123 -1.335172
ED 124 0.198710
ED 125 0.154790
ED 126 -1.093570
ED 127 0.612229
ED 128 -1.196339
ED 129 -1.882220
ED 130 -0.995022
ED 131 0.047172
ED 132 1.060622
ED 133 -0.578840
ED 134 -1.345497
ED 135 -1.006424
ED 136 0.187639
ED 137 -0.114903
ED 138 -1.923175
ED 139 -0.029067
ED 140 -1.975638
ED 141 0.186445
ED 142 -1.643374
ED 143 -0.690621
ED 144 -1.083399
ED 145 -1.049887
ED 146 -1.760476
ED 147 -1.841281
ED 148 -2.282865
ED 149 -1.247238
ED 150 -1.889037
ED 151 -0.363170
ED 152 -2.003347
ED 153 -0.087613
ED 154 -0.451876
ED 155 -1.472645
ED 156 -3.132834
ED 157 -0.513059
ED 158 -0.514478
ED 159 0.063929
ED 160 -0.911567
ED 161 -0.245221
ED 162 -1.938188
ED 163 0.967658
ED 164 0.297088
ED 165 -1.313789
ED 166 -1.067223
ED 167 -0.063520
ED 168 -1.285339
ED 169 -2.002371
ED 170 -1.775887
ED 171 -2.314198
ED 172 -2.375959
ED 173 -1.742801
ED 174 -1.369147
ED 175 -2.605356
ED 176 -3.208519
ED 177 0.059567
ED 178 -0.962102
ED 179 -0.020020
ED 180 -0.244910
ED 181 -0.809711
ED 182 -2.426776
ED 183 -1.742368
ED 184 -2.407207
ED 185 1.095446
ED 186 -1.198635
ED 187 0.063218
ED 188 0.755869
ED 189 -1.838588
ED 190 -1.549319
ED 191 -0.440381
ED 192 -0.516207
ED 193 0.209161
ED 194 1.265042
ED 195 -0.111464
ED 196 0.106764
ED 197 0.485920
ED 198 -1.873659
ED 199 -1.381613
ED 200 -0.801096
ED 201 0.449912
ED 202 -0.739655
ED 203 -2.154673
ED 204 -0.311650
ED 205 -1.791325
ED 206 -0.854149
ED 207 0.529570
ED 208 -0.099544
ED 209 -1.554023
ED 210 -0.350934
ED 211 -0.420533
ED 212 -1.698531
ED 213 0.784284
ED 214 -1.832548
ED 215 -3.391154
ED 216 -2.844159
ED 217 -1.456668
ED 218 -1.159642
ED 219 -1.227711
ED 220 -0.575702
ED 221 -2.557248
ED 222 -5.139297
ED 223 -1.781755
ED 224 -1.426325
ED 225 -1.399398
ED 226 -0.588254
ED 227 -0.647619
ED 228 -2.687475
ED 229 -0.893475
ED 230 -1.063290
ED 231 -2.262797
ED 232 -2.127341
ED 233 -2.255575
ED 234 -0.143248
ED 235 -1.564017
ED 236 -2.285630
ED 237 -1.030534
ED 238 -0.882386
ED 239 -1.145286
ED 240 0.165570
ED 241 -1.513305
ED 242 -2.466888
ED 243 0.183041
ED 244 1.196901
ED 245 -0.617974
ED 246 -0.994908
ED 247 0.374807
ED 248 0.457294
ED 249 -1.719659
ED 250 -3.076311
ED 251 -0.275615
ED 252 -1.249308
ED 253 -1.914480
ED 254 1.534400
ED 255 -2.549766
ED 256 -1.768777
ED 257 -1.089277
ED 258 0.331760
ED 259 -1.711968
ED 260 -1.051558
ED 261 -2.810879
ED 262 -1.556785
ED 263 -0.092806
ED 264 -6.275089
ED 265 -1.486372
ED 266 0.927028
ED 267 -0.860036
ED 268 -0.634788
ED 269 -0.949149
ED 270 -1.238554
ED 271 -1.295900
ED 272 -1.963353
ED 273 -2.014717
ED 274 -2.649996
ED 275 -1.411411
ED 276 0.178858
ED 277 0.338987
ED 278 -1.266939
ED 279 1.422253
ED 280 -0.331194
ED 281 -0.606120
ED 282 -0.317157
ED 283 -0.440031
ED 284 1.089161
ED 285 -1.092944
ED 286 1.108258
ED 287 -0.489443
ED 288 -0.583529
ED 289 0.026639
ED 290 -0.381287
ED 291 -0.195260
ED 292 1.279767
ED 293 -2.310395
ED 294 -0.614461
ED 295 -1.821065
ED 296 0.347969
ED 297 0.486304
ED 298 -0.749732
ED 299 0.686802
ED 300 -0.817224
ED 301 0.178475
ED 302 -0.158648
ED 303 -2.116060
ED 304 -1.849840
ED 305 -0.335450
ED 306 -2.150528
ED 308 -2.347279
ED 309 0.012344
ED 310 0.180443
ED 311 0.012779
