ED ID NormlizedTimeoffset
ED 1 10.409333
ED 2 5.051461
ED 3 11.115259
ED 4 10.515403
ED 5 1.469346
ED 6 0.631698
ED 7 0.905155
ED 8 12.124561
ED 9 9.777200
ED 10 7.828395
ED 11 -1.628047
ED 12 10.839229
ED 13 11.006371
ED 14 9.986902
ED 15 8.924427
ED 16 1.413520
ED 17 10.536949
ED 18 9.697630
ED 19 9.148288
ED 20 10.365136
ED 21 1.496973
ED 22 10.597035
ED 23 12.232413
ED 24 0.681042
ED 25 5.679792
ED 26 9.892612
ED 27 2.255744
ED 28 7.352345
ED 29 1.297379
ED 30 10.276972
ED 31 12.742407
ED 32 7.273546
ED 33 8.911499
ED 34 2.532047
ED 35 -0.826234
ED 36 -0.796348
ED 37 -1.422974
ED 38 -0.837142
ED 39 -0.225298
ED 40 -1.506541
ED 41 -1.900105
ED 42 -1.034523
ED 43 -0.599660
ED 44 -0.036363
ED 45 -2.135701
ED 46 -1.101875
ED 47 -1.200921
ED 48 1.856690
ED 49 2.303770
ED 50 -0.897890
ED 51 -6.393280
ED 52 0.424562
ED 53 -0.135958
ED 54 -0.705141
ED 55 1.657507
ED 56 -1.432748
ED 57 -1.106904
ED 58 -2.303793
ED 59 -6.738116
ED 60 -0.520052
ED 61 -1.804771
ED 62 -2.233143
ED 63 -1.731513
ED 64 -3.519745
ED 65 -1.053023
ED 66 -1.094269
ED 67 -1.384627
ED 68 2.200629
ED 69 -1.441993
ED 70 -1.239843
ED 71 -1.710335
ED 72 -2.560679
ED 73 -0.230926
ED 74 -2.174200
ED 75 -0.075909
ED 76 -2.565219
ED 77 -0.016336
ED 78 -0.971767
ED 79 -0.944842
ED 80 -1.563209
ED 81 -1.977649
ED 82 -0.165281
ED 83 2.020906
ED 84 -1.056358
ED 85 -0.821684
ED 86 -2.870049
ED 87 -1.014497
ED 88 -1.105335
ED 89 -1.693247
ED 90 -2.399788
ED 91 -2.290554
ED 92 -0.253224
ED 93 -2.011650
ED 94 0.060226
ED 95 -2.547641
ED 96 1.881572
ED 97 -2.786163
ED 98 -1.023663
ED 99 -1.825679
ED 100 -0.048651
ED 101 -1.983569
ED 102 -1.212365
ED 103 0.517832
ED 104 -0.324923
ED 105 0.833437
ED 106 -0.809450
ED 107 1.570968
ED 108 -0.557922
ED 109 -0.580261
ED 110 0.359766
ED 111 0.341911
ED 112 -5.556749
ED 113 -1.935130
ED 114 -7.426617
ED 115 -1.247059
ED 116 -1.696905
ED 117 -3.367625
ED 118 -1.663845
ED 119 -0.588723
ED 120 -2.305125
ED 121 -0.932523
ED 122 -1.313353
ED 123 -2.155740
ED 124 -0.559630
ED 125 0.631812
ED 126 0.330167
ED 127 0.050961
ED 128 -0.686935
ED 129 -1.287944
ED 130 -1.023114
ED 131 0.203749
ED 132 0.530366
ED 133 -0.738672
ED 134 0.307400
ED 135 0.503174
ED 136 0.138002
ED 137 -0.399037
ED 138 -2.096183
ED 139 0.299096
ED 140 -1.218314
ED 141 -0.034353
ED 142 -1.566387
ED 143 -1.169277
ED 144 -1.423338
ED 145 -0.795569
ED 146 -2.596260
ED 147 -2.003573
ED 148 -2.883165
ED 149 -0.678433
ED 150 -0.952973
ED 151 -0.897282
ED 152 -1.331657
ED 153 -1.624959
ED 154 -1.040580
ED 155 -2.435000
ED 156 -2.457605
ED 157 0.159990
ED 158 -0.249638
ED 159 -1.468783
ED 160 -0.225114
ED 161 -0.875663
ED 162 -1.210169
ED 163 -0.244634
ED 164 -0.312675
ED 165 -1.209183
ED 166 -1.053675
ED 167 -1.411223
ED 168 -2.159602
ED 169 0.421828
ED 170 -0.524680
ED 171 -1.563107
ED 172 -0.067240
ED 173 -1.764401
ED 174 -2.419261
ED 175 -1.808280
ED 176 -1.643838
ED 177 0.691039
ED 178 -1.282777
ED 179 2.009850
ED 180 -0.142492
ED 181 -1.671512
ED 182 -1.975733
ED 183 -0.404602
ED 184 -0.082202
ED 185 -0.164053
ED 186 0.178947
ED 187 -0.936049
ED 188 -0.655213
ED 189 -2.120397
ED 190 -2.371997
ED 191 0.334067
ED 192 -1.108437
ED 193 0.794833
ED 194 -0.208530
ED 195 -0.050920
ED 196 -0.622767
ED 197 -1.105789
ED 198 -0.414211
ED 199 -1.414689
ED 200 -1.265189
ED 201 0.165933
ED 202 -1.782128
ED 203 -1.330666
ED 204 -0.853706
ED 205 -0.930166
ED 206 -0.515826
ED 207 -0.055070
ED 208 1.034051
ED 209 -1.752111
ED 210 -1.009644
