ED ID NormlizedTimeoffset
ED 1 9.327023
ED 2 3.955152
ED 3 12.231910
ED 4 9.525448
ED 5 0.234985
ED 6 1.700125
ED 7 -0.614845
ED 8 11.938299
ED 9 9.971397
ED 10 7.927055
ED 11 0.504921
ED 12 10.368628
ED 13 9.903104
ED 14 10.397329
ED 15 8.906495
ED 16 1.172220
ED 17 11.287198
ED 18 9.320172
ED 19 10.544958
ED 20 10.313577
ED 21 0.250942
ED 22 11.015585
ED 23 10.666630
ED 24 1.271856
ED 25 4.906959
ED 26 11.703536
ED 27 1.366409
ED 28 9.163318
ED 29 3.530376
ED 30 9.327155
ED 31 12.784641
ED 32 9.745602
ED 33 9.187744
ED 34 0.997999
ED 35 -0.947064
ED 36 -0.967205
ED 37 0.455561
ED 38 -1.303663
ED 39 0.128739
ED 40 -1.416666
ED 41 0.014270
ED 42 -1.863206
ED 43 0.704435
ED 44 -0.477789
ED 45 -1.951073
ED 46 0.359664
ED 47 -0.457258
ED 48 0.817181
ED 49 1.461580
ED 50 0.477645
ED 51 -5.048498
ED 52 0.332775
ED 53 2.379987
ED 54 -0.722669
ED 55 0.050275
ED 56 -0.486335
ED 57 1.865644
ED 58 -1.359302
ED 59 -6.001235
ED 60 -0.942125
ED 61 -0.781843
ED 62 -1.817081
ED 63 -1.805294
ED 64 -1.393637
ED 65 -1.287960
ED 66 -1.430775
ED 67 -1.503918
ED 68 0.890623
ED 69 0.395355
ED 70 0.202407
ED 71 -0.928499
ED 72 -2.286939
ED 73 -1.598356
ED 74 -0.851081
ED 75 0.701411
ED 76 -1.201046
ED 77 0.251623
ED 78 -0.772920
ED 79 -1.342957
ED 80 -0.196854
ED 81 -2.078192
ED 82 0.445066
ED 83 -0.385905
ED 84 -0.608756
ED 85 -0.286122
ED 86 -1.679842
ED 87 -0.967042
ED 88 -0.508920
ED 89 -1.257465
ED 90 -2.520619
ED 91 -2.208466
ED 92 -1.695307
ED 93 -0.606337
ED 94 -0.559629
ED 95 -0.465925
ED 96 0.718049
ED 97 -2.195803
ED 98 0.792168
ED 99 -1.766256
ED 100 -0.138231
