TYPE ID Toffset_noisereduction
ED 1 5.989152
ED 2 -12.028042
ED 3 19.503287
ED 4 -1.870612
ED 5 -7.339359
ED 6 5.652898
ED 7 -9.489949
ED 8 6.291994
ED 9 5.311503
ED 10 12.268168
ED 11 10.149004
ED 12 -1.601842
ED 13 3.994151
ED 14 8.555250
ED 15 13.849541
ED 16 -0.625161
ED 17 14.452852
ED 18 15.175998
ED 19 21.400693
ED 20 11.432247
ED 21 -6.926942
ED 22 5.521307
ED 23 1.363230
ED 24 -6.046805
ED 25 -3.242568
ED 26 20.767287
ED 27 -9.287825
ED 28 21.051252
ED 29 12.104233
ED 30 6.451236
ED 31 0.443476
ED 32 30.120021
ED 33 12.888816
ED 34 -11.374017
ED 35 -6.001032
ED 36 0.631719
ED 37 13.206585
ED 38 -1.736145
ED 39 4.962681
ED 40 0.795211
ED 41 10.430446
ED 42 -5.541823
ED 43 12.507352
ED 44 -6.769691
ED 45 -4.508280
ED 46 12.129104
ED 47 6.498796
ED 48 -11.293073
ED 49 -14.671416
ED 50 6.301142
ED 51 4.624518
ED 52 -9.228302
ED 53 21.155470
ED 54 -1.436720
ED 55 -16.588531
ED 56 5.749341
ED 57 20.135208
ED 58 8.589334
ED 59 -0.799004
ED 60 -6.386790
ED 61 7.230610
ED 62 2.583220
ED 63 -0.620822
ED 64 12.176572
ED 65 1.396362
ED 66 -2.289315
ED 67 -1.540361
ED 68 -8.408675
ED 69 13.670758
ED 70 10.848646
ED 71 7.823967
ED 72 2.312409
ED 73 -8.540939
ED 74 12.470033
ED 75 -1.978538
ED 76 5.202719
ED 77 1.199870
ED 78 -0.660107
ED 79 2.567725
ED 80 7.516450
ED 81 0.221184
ED 82 6.991796
ED 83 -22.377203
ED 84 3.493824
ED 85 -0.391181
ED 86 7.371650
ED 87 -4.048388
ED 88 1.711226
ED 89 3.741333
ED 90 2.829791
ED 91 5.725895
ED 92 -3.950627
ED 93 11.472581
ED 94 -10.204038
ED 95 8.252936
ED 96 -4.118160
ED 97 -4.863235
ED 98 10.182501
ED 99 2.347152
ED 100 -6.968258
ED 101 15.275768
ED 102 3.308108
ED 103 -7.186471
ED 104 6.702859
ED 105 -10.158001
ED 106 -2.476338
ED 107 -7.840568
ED 108 19.012305
ED 109 -4.584008
ED 110 5.923014
ED 111 -14.379495
ED 112 14.826697
ED 113 1.320316
ED 114 17.276631
ED 115 0.712471
ED 116 9.849799
ED 117 3.257155
ED 118 19.952217
ED 119 2.568683
ED 120 0.176397
ED 121 -5.221921
ED 122 -2.213362
ED 123 1.377178
ED 124 5.906948
ED 125 1.666588
ED 126 -6.172835
ED 127 5.426889
ED 128 -0.510110
ED 129 -3.986508
ED 130 5.972744
ED 131 -1.375565
ED 132 9.068032
ED 133 -0.254659
ED 134 -6.182215
ED 135 -2.829251
ED 136 4.988396
ED 137 7.814861
ED 138 2.747360
ED 139 -4.529985
ED 140 -5.920068
ED 141 0.234607
ED 142 -1.650776
ED 143 7.425257
ED 144 3.785400
ED 145 1.103912
ED 146 3.082737
ED 147 0.313778
ED 148 3.393454
ED 149 -2.780001
ED 150 -7.453692
ED 151 4.532063
ED 152 2.821073
ED 153 11.120470
ED 154 4.541648
ED 155 8.283667
ED 156 0.984782
ED 157 -4.189116
ED 158 -0.899980
ED 159 10.991607
ED 160 0.646104
ED 161 -2.059648
ED 162 -7.371415
ED 163 18.043113
ED 164 7.985384
ED 165 6.740560
ED 166 -2.735241
ED 167 13.476578
ED 168 3.968131
ED 169 -9.144901
ED 170 -7.413595
ED 171 -6.496335
ED 172 -21.609039
ED 173 -1.357657
ED 174 8.020339
ED 175 -2.966187
